dialogue_id,turn_id,turn,speaker,n_chars,n_words,lexical_entropy,mattr,surprisal_mean,surprisal_sent_max,sem_dist_partner,sem_dist_self,self_novelty,delta_surprisal,peak_break
DETACHED,DETACHED-T01,1,A,11,4,1.3862943611198906,1.0,7.3490096728007,7.3490096728007,,,,,
DETACHED,DETACHED-T02,2,B,22,12,2.484906649788001,1.0,3.108158622469221,3.108158622469221,0.3735526557847537,,,,
DETACHED,DETACHED-T03,3,A,21,9,2.0431918705451206,0.8888888888888888,3.80389167368412,3.80389167368412,0.7247746283838788,0.699378559943036,0.699378559943036,-3.54511799911658,-3.54511799911658
GROUNDED,GROUNDED-T01,1,A,11,4,1.3862943611198906,1.0,7.3490096728007,7.3490096728007,,,,,
GROUNDED,GROUNDED-T02,2,B,22,12,2.484906649788001,1.0,3.108158622469221,3.108158622469221,0.3735526557847537,,,,
GROUNDED,GROUNDED-T03,3,A,25,12,2.484906649788001,1.0,4.246927447617054,4.246927447617054,0.4814701161566307,0.5137831652579674,0.5137831652579674,-3.102082225183646,-3.102082225183646
HIGH_ENTROPY,HIGH_ENTROPY-T01,1,A,21,11,2.3978952727983707,1.0,6.04428600663176,6.04428600663176,,,,,
LOW_ENTROPY,LOW_ENTROPY-T01,1,A,13,6,-0.0,0.16666666666666666,5.432617962360382,5.432617962360382,,,,,
NO_CONTEXT,NO_CONTEXT-T01,1,A,25,12,2.484906649788001,1.0,5.439226942903855,5.439226942903855,,,,,
PARAPHRASE,PARAPHRASE-T01,1,A,11,4,1.3862943611198906,1.0,7.3490096728007,7.3490096728007,,,,,
PARAPHRASE,PARAPHRASE-T02,2,B,22,12,2.484906649788001,1.0,3.108158622469221,3.108158622469221,0.3735526557847537,,,,
PARAPHRASE,PARAPHRASE-T03,3,A,14,7,1.945910149055313,1.0,4.882706822827458,4.882706822827458,0.41098768887448356,0.12065231294610901,0.12065231294610901,-2.466302849973242,-2.466302849973242
REPEAT,REPEAT-T01,1,A,11,4,1.3862943611198906,1.0,7.3490096728007,7.3490096728007,,,,,
REPEAT,REPEAT-T02,2,B,22,12,2.484906649788001,1.0,3.108158622469221,3.108158622469221,0.3735526557847537,,,,
REPEAT,REPEAT-T03,3,A,11,4,1.3862943611198906,1.0,1.4427938686373334,1.4427938686373334,0.3735526557847537,0.0,0.0,-5.906215804163367,-5.906215804163367
