dialogue_id,group,source_quality_flag,source_quality_issue,turn_id,turn,speaker_id,n_chars,n_words,lexical_entropy,mattr,surprisal_mean,surprisal_sent_max,sem_dist_partner,sem_dist_self,CR01_avg,CR02_avg,CR03_avg,cr_turn_composite,ct_analysis,ct_evaluation,ct_reasoning,ct_composite,CR01_R1,CR01_R2,CR02_R1,CR02_R2,CR03_R1,CR03_R2,CT01_R1,CT01_R2,CT02_R1,CT02_R2,CT03_R1,CT03_R2,self_novelty,delta_surprisal,peak_break,sem_dist_partner_truncate,sem_dist_self_truncate,self_novelty_truncate,self_novelty_z,delta_surprisal_z
AI002,AI,False,none,AI002_T1,1,S01,203,104,4.099374352963503,0.9642105263157896,2.868361807821091,3.94775744730776,,,3.0,3.0,2.0,8.0,2.0,1.5,4.0,2.5,3.0,3.0,3.0,3.0,2.0,2.0,2,2,2,1,4,4,,,,,,,,
AI002,AI,False,none,AI002_T3,3,S01,295,154,4.293214914676321,0.9544827586206897,3.1355520091074713,3.882743056035704,0.128009404153269,0.1515694261271716,3.0,2.0,1.5,6.5,4.0,3.5,4.0,3.83,3.0,3.0,2.0,2.0,2.0,1.0,4,4,3,4,4,4,0.1515694261271716,0.2671902012863802,0.2671902012863802,0.1502420559812709,0.1515694261271716,0.1515694261271716,-0.5455470328018256,0.7303467097806535
AI002,AI,False,none,AI002_T5,5,S01,323,165,4.5382988230575885,0.9615384615384616,3.4765147152439586,4.756972843408585,0.1677645884045133,0.1652227861558889,3.0,2.0,2.0,7.0,4.0,3.5,4.5,4.0,3.0,3.0,2.0,2.0,2.0,2.0,4,4,3,4,4,5,0.1652227861558889,0.3409627061364872,0.3409627061364872,0.1930416480606449,0.1652227861558889,0.1652227861558889,-0.10650106488060025,1.0272448764347526
AI002,AI,False,none,AI002_T7,7,S01,316,162,4.613839726298899,0.9803921568627452,3.888201684882189,5.250981786521152,0.1513078249366137,0.1853942821089309,3.0,3.0,2.0,8.0,4.5,3.5,5.0,4.33,3.0,3.0,3.0,3.0,2.0,2.0,4,5,3,4,5,5,0.1853942821089309,0.4116869696382306,0.4116869696382306,0.1770767763439161,0.1853942821089309,0.1853942821089309,0.5421461506396107,1.3118753659957771
AI002,AI,False,none,AI002_T9,9,S01,374,197,4.574461509430787,0.965425531914894,3.62455939358197,4.356472297989089,0.1459676837779087,0.2227949756857098,3.0,3.0,2.0,8.0,4.0,3.5,5.0,4.17,3.0,3.0,3.0,3.0,2.0,2.0,4,4,3,4,5,5,0.2227949756857098,-0.2636422913002185,-0.2636422913002185,0.1778732119236444,0.2227949756857098,0.2227949756857098,1.7448261999318244,-1.4059938437847874
AI002,AI,False,none,AI002_T11,11,S01,327,176,4.516098302828851,0.9520958083832336,3.8237954125144378,4.589113162655849,0.1368673832364026,0.2091447272122388,3.0,2.5,2.0,7.5,4.0,4.0,4.5,4.17,3.0,3.0,2.0,3.0,2.0,2.0,4,4,4,4,4,5,0.1649485996593365,0.1992360189324671,-0.0644062723677514,0.1970406019001801,0.2091447272122388,0.1649485996593365,-0.11531797701919302,0.456864438867551
AI002,AI,False,none,AI002_T13,13,S01,394,206,4.567985279746232,0.9695431472081218,3.486735108289015,3.950873527542821,0.122716029995621,0.1665103235095513,3.0,2.5,1.5,7.0,4.5,4.0,5.0,4.5,3.0,3.0,3.0,2.0,2.0,1.0,4,5,4,4,5,5,0.1474769184072657,-0.3370603042254227,-0.4014665765931742,0.191817234097453,0.1665103235095513,0.1474769184072657,-0.6771482657094722,-1.7014653542231166
AI002,AI,False,none,AI002_T15,15,S01,303,157,4.474295602181095,0.9635135135135134,3.6040559756989383,4.935554374348033,0.1640388516227883,0.1631525024689218,3.0,2.5,1.5,7.0,4.0,3.5,4.5,4.0,3.0,3.0,2.0,3.0,2.0,1.0,4,4,3,4,4,5,0.1631525024689218,0.1173208674099233,-0.2841457091832509,0.1909632926221973,0.1631525024689218,0.1631525024689218,-0.1730743994520309,0.1271961111125025
AI002,AI,False,none,AI002_T17,17,S01,303,148,4.369754049914796,0.9633093525179856,3.656169389660821,4.919494469250951,0.1006595956790981,0.1637553540711344,3.0,3.0,1.5,7.5,4.5,4.0,4.5,4.33,3.0,3.0,3.0,3.0,2.0,1.0,4,5,4,4,4,5,0.1533449667579048,0.0521134139618828,-0.232032295221368,0.128703093293388,0.1637553540711344,0.1533449667579048,-0.48845163993412943,-0.1352319224786282
AI002,AI,False,none,AI002_T19,19,S01,323,168,4.52649586522137,0.9748427672955976,3.5910575269479996,4.173039828427136,0.1418553436594913,0.1673001681976743,3.0,3.0,1.5,7.5,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,2.0,1.0,4,4,4,4,4,4,0.1413612507439299,-0.0651118627128215,-0.2971441579341896,0.1853883181537241,0.1673001681976743,0.1413612507439299,-0.8738074926753094,-0.6070061939494815
AI002,AI,False,none,AI002_T21,21,S01,338,172,4.76929213162202,0.979754601226994,3.5096679001114213,4.366069132023874,0.1896709722037687,0.2476464351055755,3.0,3.0,2.0,8.0,4.0,3.5,4.5,4.0,3.0,3.0,3.0,3.0,2.0,2.0,4,4,3,4,4,5,0.226515150922683,-0.0813896268365783,-0.3785337847707679,0.2513251175058658,0.2476464351055755,0.226515150922683,1.8644544770971578,-0.6725162147274225
AI002,AI,False,none,AI002_T23,23,S01,340,175,4.671251877160717,0.9740963855421688,3.811232304726459,4.672307070563821,0.1143715368082014,0.2664218661506897,3.0,3.0,2.0,8.0,4.0,4.0,4.5,4.17,3.0,3.0,3.0,3.0,2.0,2.0,4,4,4,4,5,4,0.1321012158475325,0.3015644046150383,-0.0769693801557296,0.1643973348527986,0.2664218661506897,0.1321012158475325,-1.171578955196032,0.8686860269721994
AI012,AI,False,none,AI012_T2,2,S02,137,72,3.744442562983428,0.9666666666666668,3.152411617497289,3.6011424884200096,0.2232187055664787,,3.0,2.0,2.0,7.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,3,3,3,3,3,3,,,,0.2232187055664787,,,,
AI012,AI,False,none,AI012_T4,4,S02,89,49,3.3768208271695888,0.9425,3.221313018411974,4.531936138868332,0.2398405677570803,0.2280557210532166,2.5,2.0,2.0,6.5,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,3,3,3,3,3,3,0.2280557210532166,0.0689014009146848,0.0689014009146848,0.2398405677570803,0.2280557210532166,0.2280557210532166,-1.5101032557572538,0.04082137628075869
